precipitation,fog,sun_altitude,w_lidar,w_stereo,w_camera,w_ai,w_hsi
0.0,40.0,0.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,40.0,15.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,40.0,30.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,40.0,45.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,60.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,75.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,90.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,50.0,-90.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,-75.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,-60.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,-45.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,-30.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,50.0,-15.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,50.0,0.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,50.0,15.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,50.0,30.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,50.0,45.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,60.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,75.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,50.0,90.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,60.0,-90.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,-75.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,-60.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,-45.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,-30.0,0.2727272727272727,0.1636363636363636,0.10909090909090907,0.36363636363636365,0.09090909090909091
0.0,60.0,-15.0,0.2727272727272727,0.1636363636363636,0.10909090909090907,0.36363636363636365,0.09090909090909091
0.0,60.0,0.0,0.2727272727272727,0.1636363636363636,0.10909090909090907,0.36363636363636365,0.09090909090909091
0.0,60.0,15.0,0.2727272727272727,0.1636363636363636,0.10909090909090907,0.36363636363636365,0.09090909090909091
0.0,60.0,30.0,0.2727272727272727,0.1636363636363636,0.10909090909090907,0.36363636363636365,0.09090909090909091
0.0,60.0,45.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,60.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,75.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,60.0,90.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,70.0,-90.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,70.0,-75.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,70.0,-60.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,70.0,-45.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,70.0,-30.0,0.25,0.15,0.09999999999999999,0.40909090909090895,0.09090909090909091
0.0,70.0,-15.0,0.25,0.15,0.09999999999999999,0.40909090909090895,0.09090909090909091
0.0,70.0,0.0,0.25,0.15,0.09999999999999999,0.40909090909090895,0.09090909090909091
0.0,70.0,15.0,0.25,0.15,0.09999999999999999,0.40909090909090895,0.09090909090909091
0.0,70.0,30.0,0.25,0.15,0.09999999999999999,0.40909090909090895,0.09090909090909091
0.0,70.0,45.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
0.0,70.0,60.0,0.2954545454545454,0.17727272727272728,0.11818181818181818,0.3181818181818181,0.09090909090909091
